SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,65 E Monroe St #4614,CHICAGO,IL,60603,1370000,3,2.5,Loop,2059,,1972,146,665,1188,Active,,,http://www.redfin.com/IL/Chicago/65-E-Monroe-St-60603/unit-4614/home/39567653,MRED,09972986,N,Y,41.880535,-87.6256716
MLS Listing,,Single Family Residential,1840 W Nelson St,CHICAGO,IL,60657,1450000,6,3.5,North Center,4200,3123,2016,1,345,,Active,,,http://www.redfin.com/IL/Chicago/1840-W-Nelson-St-60657/home/13358702,MRED,10130716,N,Y,41.9370881,-87.6751608
MLS Listing,,Condo/Co-op,1349 N SEDGWICK St,CHICAGO,IL,60610,1399888,6,5.0,Near North Side,7000,,2000,1,200,624,Active,,,http://www.redfin.com/IL/Chicago/1349-N-Sedgwick-St-60610/unit-PENT/home/12770354,MRED,10130134,N,Y,41.906996,-87.6381757
MLS Listing,,Single Family Residential,2441 N Seminary Ave,CHICAGO,IL,60614,1399000,4,4.5,Lincoln Park,4994,2879,1986,1,280,,Active,,,http://www.redfin.com/IL/Chicago/2441-N-Seminary-Ave-60614/home/13361168,MRED,10129757,N,Y,41.9265772,-87.6558106
MLS Listing,,Townhouse,440 W Superior St,CHICAGO,IL,60654,1450000,4,3.5,Near North Side,3242,,2003,2,447,435,Active,,,http://www.redfin.com/IL/Chicago/440-W-Superior-St-60654/home/12681530,MRED,10129329,N,Y,41.8956912,-87.6402425
MLS Listing,,Condo/Co-op,676 N KINGSBURY St #401,CHICAGO,IL,60654,1350000,3,3.5,Near North Side,2247,,2018,3,601,827,Active,November-10-2018 12:00 PM,November-10-2018 02:00 PM,http://www.redfin.com/IL/Chicago/676-N-Kingsbury-St-60654/unit-401/home/144721877,MRED,10128898,N,Y,41.8943756,-87.6416486
MLS Listing,,Condo/Co-op,990 N LAKE SHORE Dr Unit 29A,CHICAGO,IL,60611,1325000,3,3.0,Near North Side,2000,,1976,4,663,1596,Active,,,http://www.redfin.com/IL/Chicago/990-N-Lake-Shore-Dr-60611/unit-29A/home/14120872,MRED,10127690,N,Y,41.9003032,-87.620142
MLS Listing,,Single Family Residential,533 N ARTESIAN Ave,CHICAGO,IL,60612,1300000,5,3.5,West Town,,3175,2018,4,,,Active,,,http://www.redfin.com/IL/Chicago/533-N-Artesian-Ave-60612/home/109282585,MRED,10127397,N,Y,41.8912133,-87.6876401
MLS Listing,,Multi-Family (2-4 Unit),2237 N Clifton Ave,CHICAGO,IL,60614,1320000,8,4.0,Lincoln Park,,3049,1925,4,,,Active,,,http://www.redfin.com/IL/Chicago/2237-N-Clifton-Ave-60614/unit-1A/home/13352887,MRED,10127198,N,Y,41.9228135,-87.6569377
MLS Listing,,Single Family Residential,3731 N Bell Ave,CHICAGO,IL,60618,1449000,5,3.5,North Center,5100,3720,1914,4,284,,Active,,,http://www.redfin.com/IL/Chicago/3731-N-Bell-Ave-60618/home/13389255,MRED,10127048,N,Y,41.9495498,-87.6844044
MLS Listing,,Single Family Residential,2149 W GRACE St,CHICAGO,IL,60618,1349000,5,3.5,North Center,,3750,2004,5,,,Active,,,http://www.redfin.com/IL/Chicago/2149-W-Grace-St-60618/home/13389192,MRED,10126275,N,Y,41.9502189,-87.6830179
MLS Listing,,Condo/Co-op,2636 N Lakewood Ave #2,CHICAGO,IL,60614,1350000,3,2.5,Lincoln Park,3200,8928,2010,5,422,385,Active,,,http://www.redfin.com/IL/Chicago/2636-N-Lakewood-Ave-60614/unit-2/home/40367857,MRED,10126258,N,Y,41.930021,-87.6613944
MLS Listing,,Multi-Family (2-4 Unit),1025 N MARSHFIELD Ave,CHICAGO,IL,60622,1375000,8,7.5,West Town,,3250,2008,6,,,Active,,,http://www.redfin.com/IL/Chicago/1025-N-Marshfield-Ave-60622/home/14105553,MRED,10125220,N,Y,41.9004565,-87.6683779
MLS Listing,,Condo/Co-op,1919 S Prairie Ave #3,CHICAGO,IL,60616,1399900,3,2.5,Near South Side,3485,,1882,7,402,945,Active,,,http://www.redfin.com/IL/Chicago/1919-S-Prairie-Ave-60616/unit-3/home/18934760,MRED,10124998,N,Y,41.8561525,-87.6202978
MLS Listing,,Condo/Co-op,1152 W Fulton St Unit 2A,CHICAGO,IL,60607,1500000,2,2.0,Near West Side,2000,,2002,7,750,539,Active,,,http://www.redfin.com/IL/Chicago/1152-W-Fulton-Market-60607/unit-2A/home/28445223,MRED,10124814,N,Y,41.8868028,-87.656574
MLS Listing,,Condo/Co-op,1017 W Washington Blvd Unit 4AG,CHICAGO,IL,60607,1275000,2,1.5,Near West Side,3200,,1902,7,398,674,Active,,,http://www.redfin.com/IL/Chicago/1017-W-Washington-Blvd-60607/unit-4AG/home/12738696,MRED,10124473,N,Y,41.8825926,-87.6527662
MLS Listing,,Single Family Residential,3509 N Hoyne Ave,CHICAGO,IL,60618,1299000,5,3.5,North Center,4100,3101,2005,7,317,,Active,,,http://www.redfin.com/IL/Chicago/3509-N-Hoyne-Ave-60618/home/13387358,MRED,10124391,N,Y,41.9453315,-87.6806686
MLS Listing,,Multi-Family (2-4 Unit),1348 W Augusta Blvd,CHICAGO,IL,60642,1450000,7,6.5,West Town,,5227,1901,7,,,Active,,,http://www.redfin.com/IL/Chicago/1348-W-Augusta-Blvd-60642/home/147820961,MRED,10124396,N,Y,41.899954,-87.662034
MLS Listing,,Condo/Co-op,1720 N LaSalle Dr #23,CHICAGO,IL,60614,1250000,4,3.5,Lincoln Park,3000,,1987,7,417,1242,Active,,,http://www.redfin.com/IL/Chicago/1720-N-LaSalle-Dr-60614/unit-23/home/13345333,MRED,10124181,N,Y,41.914098,-87.6336366
MLS Listing,,Condo/Co-op,1300 N Lake Shore Dr Unit 28BC,CHICAGO,IL,60610,1399900,3,3.5,Near North Side,3000,,1963,7,467,2699,Active,,,http://www.redfin.com/IL/Chicago/1300-N-Lake-Shore-Dr-60610/unit-28BC/home/143007467,MRED,10124167,N,Y,41.906171,-87.625827
MLS Listing,,Townhouse,1255 N Paulina St Unit 1650A,CHICAGO,IL,60622,1275000,4,3.5,West Town,3475,,2019,9,367,412,Active,,,http://www.redfin.com/IL/Chicago/1255-N-Paulina-St-60622/unit-1650A/home/147885186,MRED,10123665,N,Y,41.9049062,-87.6698312
MLS Listing,,Single Family Residential,3252 N Wolcott Ave,CHICAGO,IL,60657,1325000,5,3.5,North Center,3800,2879,2018,10,349,,Active,,,http://www.redfin.com/IL/Chicago/3252-N-Wolcott-Ave-60657/home/13385310,MRED,10123285,N,Y,41.941161,-87.676306
MLS Listing,,Single Family Residential,3428 W Wrightwood Ave,CHICAGO,IL,60647,1399000,4,3.5,Logan Square,1881,7000,1900,10,744,,Active,,,http://www.redfin.com/IL/Chicago/3428-W-Wrightwood-Ave-60647/home/13446018,MRED,10123176,N,Y,41.9284826,-87.7135094
MLS Listing,,Single Family Residential,1400 S EMERALD St,CHICAGO,IL,60607,1387000,5,3.5,Near West Side,4299,3863,2007,11,323,519,Active,November-11-2018 01:00 PM,November-11-2018 03:00 PM,http://www.redfin.com/IL/Chicago/1400-S-Emerald-Ave-60607/home/21749268,MRED,10122310,N,Y,41.8634416,-87.6459156
MLS Listing,,Multi-Family (2-4 Unit),1938 W Diversey Pkwy,CHICAGO,IL,60614,1350000,7,6.5,North Center,,2613,2006,11,,,Active,,,http://www.redfin.com/IL/Chicago/1938-W-Diversey-Pkwy-60614/unit-1/home/18954073,MRED,10122165,N,Y,41.9325103,-87.6767015
MLS Listing,,Single Family Residential,6245 N Kirkwood Ave,CHICAGO,IL,60646,1250000,5,5.5,Forest Glen,6220,7993,2018,11,201,,Active,,,http://www.redfin.com/IL/Chicago/6245-N-Kirkwood-Ave-60646/home/13516503,MRED,10121769,N,Y,41.9951556,-87.7395956
MLS Listing,,Condo/Co-op,720 N Larrabee St #1701,CHICAGO,IL,60654,1395000,3,2.5,Near North Side,2625,,2003,11,531,1448,Active,,,http://www.redfin.com/IL/Chicago/720-N-Larrabee-St-60654/unit-1701/home/12582206,MRED,10121581,N,Y,41.8951962,-87.6433989
MLS Listing,,Condo/Co-op,401 N Wabash Ave Unit 65G,CHICAGO,IL,60611,1290000,1,1.5,Near North Side,1419,,2008,11,909,1509,Active,,,http://www.redfin.com/IL/Chicago/401-N-Wabash-Ave-60611/unit-65G/home/28676220,MRED,10121541,N,Y,41.8888031,-87.626312
MLS Listing,,Multi-Family (2-4 Unit),1502 N CLEVELAND Ave,CHICAGO,IL,60610,1275000,5,4.0,Near North Side,,3075,1895,12,,,Active,,,http://www.redfin.com/IL/Chicago/1502-N-Cleveland-Ave-60610/home/12583889,MRED,10120795,N,Y,41.909398,-87.641295
MLS Listing,,Condo/Co-op,10 E Delaware Pl Unit 19D,CHICAGO,IL,60611,1350000,3,2.5,Near North Side,1956,,2010,12,690,1243,Active,,,http://www.redfin.com/IL/Chicago/10-E-Delaware-Pl-60611/unit-19D/home/113096739,MRED,10120220,N,Y,41.8993911,-87.6279033
MLS Listing,,Condo/Co-op,219 E LAKE SHORE Dr Unit 5D,CHICAGO,IL,60611,1500000,3,3.0,Near North Side,2200,,1922,13,682,2248,Active,,,http://www.redfin.com/IL/Chicago/219-E-Lake-Shore-Dr-60611/unit-5D/home/14120869,MRED,10119872,N,Y,41.9006646,-87.6209547
MLS Listing,,Single Family Residential,2055 W Erie St,CHICAGO,IL,60612,1425000,5,3.5,West Town,,2927,2018,13,,,Active,,,http://www.redfin.com/IL/Chicago/2055-W-Erie-St-60612/unit-1/home/14104176,MRED,10119244,N,Y,41.8928696,-87.6790892
MLS Listing,,Single Family Residential,2024 W Erie St,CHICAGO,IL,60612,1425000,5,3.5,West Town,,2927,2018,13,,,Active,,,http://www.redfin.com/IL/Chicago/2024-W-Erie-St-60612/home/14105575,MRED,10119243,N,Y,41.8933258,-87.6780111
MLS Listing,,Single Family Residential,5402 N Glenwood Ave,CHICAGO,IL,60640,1395000,5,4.5,Edgewater,4200,2927,1906,13,332,,Active,,,http://www.redfin.com/IL/Chicago/5402-N-Glenwood-Ave-60640/home/13402667,MRED,10119188,N,Y,41.9800884,-87.6651063
MLS Listing,,Single Family Residential,6851 S BENNETT Ave,CHICAGO,IL,60649,1299000,7,4.0,South Shore,,19950,1921,14,,,Active,,,http://www.redfin.com/IL/Chicago/6851-S-Bennett-Ave-60649/home/13927340,MRED,10118916,N,Y,41.7701544,-87.5785497
MLS Listing,,Condo/Co-op,3200 N LAKE SHORE Dr #2901,CHICAGO,IL,60657,1499000,3,3.0,Lake View,2175,,1967,14,689,2309,Active,,,http://www.redfin.com/IL/Chicago/3200-N-Lake-Shore-Dr-60657/unit-2901/home/13375491,MRED,10118691,N,Y,41.9406554,-87.6398821
MLS Listing,,Condo/Co-op,57 E Delaware Pl #3502,CHICAGO,IL,60611,1400000,2,2.0,Near North Side,2015,,2000,14,695,1672,Active,,,http://www.redfin.com/IL/Chicago/57-E-Delaware-Pl-60611/unit-3502/home/12770971,MRED,10118312,N,Y,41.8988683,-87.626187
MLS Listing,,Single Family Residential,1534 W Montana St,CHICAGO,IL,60614,1295000,5,5.0,Lincoln Park,3200,16422,2014,17,405,,Active,,,http://www.redfin.com/IL/Chicago/1534-W-Montana-St-60614/home/44633800,MRED,10117177,N,Y,41.9262072,-87.6671872
MLS Listing,,Single Family Residential,3756 N Hermitage Ave,CHICAGO,IL,60613,1399000,5,3.5,Lake View,4240,3123,2013,17,330,,Active,,,http://www.redfin.com/IL/Chicago/3756-N-Hermitage-Ave-60613/home/13388142,MRED,10116584,N,Y,41.9503996,-87.6727726
MLS Listing,,Single Family Residential,1513 W Wellington Ave,CHICAGO,IL,60657,1349000,4,4.0,Lake View,4260,3123,2000,18,317,,Active,,,http://www.redfin.com/IL/Chicago/1513-W-Wellington-Ave-60657/home/13365966,MRED,10116182,N,Y,41.9358718,-87.6667244
