SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,1614 N Honore St,CHICAGO,IL,60622,1595000,5,4.5,West Town,4200,2880,2014,1,380,,Active,November-10-2018 11:30 AM,November-10-2018 01:30 PM,http://www.redfin.com/IL/Chicago/1614-N-Honore-St-60622/unit-1ST/home/13354287,MRED,10130686,N,Y,41.911046,-87.674148
MLS Listing,,Condo/Co-op,340 E Randolph St #2601,CHICAGO,IL,60601,1800000,2,2.5,Loop,2045,,2007,1,880,1086,Active,,,http://www.redfin.com/IL/Chicago/340-E-Randolph-St-60601/unit-2601/home/26815126,MRED,10130626,N,Y,41.8848445,-87.6187718
MLS Listing,,Condo/Co-op,180 E Pearson St #5501,CHICAGO,IL,60611,1845000,3,4.0,Near North Side,2754,,1975,1,670,2591,Active,,,http://www.redfin.com/IL/Chicago/180-E-Pearson-St-60611/unit-5501/home/14116358,MRED,10130609,N,Y,41.8978308,-87.6222385
MLS Listing,,Townhouse,1438 N NORTH PARK Ave #2,CHICAGO,IL,60610,1599000,3,3.5,Near North Side,3000,,2018,1,533,418,Active,,,http://www.redfin.com/IL/Chicago/1438-N-North-Park-Ave-60610/unit-2/home/145582736,MRED,10130604,N,Y,41.908557,-87.637246
MLS Listing,,Townhouse,1438 N NORTH PARK Ave #1,CHICAGO,IL,60610,1649000,4,4.0,Near North Side,4000,,2018,1,412,418,Active,,,http://www.redfin.com/IL/Chicago/1438-N-North-Park-Ave-60610/unit-1/home/145582737,MRED,10130560,N,Y,41.908557,-87.637246
MLS Listing,,Condo/Co-op,10 E Delaware Pl Unit 27D,CHICAGO,IL,60611,1525000,3,2.5,Near North Side,1956,,2008,1,780,1336,Active,,,http://www.redfin.com/IL/Chicago/10-E-Delaware-Pl-60611/unit-27D/home/40378260,MRED,10130403,N,Y,41.8993013,-87.6279315
MLS Listing,,Condo/Co-op,159 E Walton Pl Unit 8A,CHICAGO,IL,60611,1750000,2,2.5,Near North Side,2482,,1929,1,705,2212,Active,,,http://www.redfin.com/IL/Chicago/159-E-Walton-Pl-60611/unit-8A/home/12593123,MRED,10130341,N,Y,41.8998456,-87.6233405
MLS Listing,,Single Family Residential,1722 W School St,CHICAGO,IL,60657,1750000,5,5.0,Lake View,,3125,2002,1,,,Active,November-10-2018 01:00 PM,November-10-2018 03:00 PM,http://www.redfin.com/IL/Chicago/1722-W-School-St-60657/home/12700924,MRED,10130012,N,Y,41.941739,-87.672095
MLS Listing,,Condo/Co-op,225 N Columbus Dr #6005,CHICAGO,IL,60601,1690000,3,3.0,Loop,2000,87120,2009,1,845,1564,Active,,,http://www.redfin.com/IL/Chicago/225-N-Columbus-Dr-60601/unit-6005/home/21796473,MRED,10066603,N,Y,41.8864588,-87.6197781
MLS Listing,,Condo/Co-op,600 N LAKE SHORE Dr #1405,CHICAGO,IL,60611,1590000,3,3.5,Near North Side,2540,,2008,1,626,1387,Active,,,http://www.redfin.com/IL/Chicago/600-N-Lake-Shore-Dr-60611/unit-1405/home/21864801,MRED,10129756,N,Y,41.8930694,-87.6151037
