SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Multi-Family (2-4 Unit),3343 N Sheffield Ave,CHICAGO,IL,60657,1025000,8,4.0,Lake View,,1742,1900,28,,,Active,,,http://www.redfin.com/IL/Chicago/3343-N-Sheffield-Ave-60657/unit-2/home/13379781,MRED,10106105,N,Y,41.9430566,-87.653951
MLS Listing,,Condo/Co-op,18 N Carpenter St Unit 2S,CHICAGO,IL,60607,1135000,3,3.0,Near West Side,1950,,2012,39,582,523,Active,,,http://www.redfin.com/IL/Chicago/18-N-Carpenter-St-60607/unit-2S/home/145128929,MRED,10095574,N,Y,41.882269,-87.6536429
MLS Listing,,Single Family Residential,1807 W Ohio St,CHICAGO,IL,60622,1040000,4,3.5,West Town,,2400,2013,109,,,Active,,,http://www.redfin.com/IL/Chicago/1807-W-Ohio-St-60622/home/64233616,MRED,10023791,N,Y,41.8921215,-87.6723845
MLS Listing,,Single Family Residential,1845 W Cuyler Ave,CHICAGO,IL,60613,1099900,5,4.5,North Center,4000,3123,,1,275,,Active,,,http://www.redfin.com/IL/Chicago/1845-W-Cuyler-Ave-60613/unit-2/home/13389242,MRED,10130554,N,Y,41.9548875,-87.6759691
MLS Listing,,Condo/Co-op,1433 W Henderson St,CHICAGO,IL,60657,1125000,3,2.5,Lake View,,3150,2018,1,,275,Active,,,http://www.redfin.com/IL/Chicago/1433-W-Henderson-St-60657/unit-1/home/148025940,MRED,10130462,N,Y,41.9423088,-87.6652218
MLS Listing,,Single Family Residential,1658 W Erie St,CHICAGO,IL,60622,1199000,5,3.5,West Town,4200,2905,2018,1,285,,Active,,,http://www.redfin.com/IL/Chicago/1658-W-Erie-St-60622/home/45516530,MRED,10130240,N,Y,41.893541,-87.6694909
MLS Listing,,Multi-Family (2-4 Unit),2116 W Haddon Ave,CHICAGO,IL,60622,1079000,6,3.0,West Town,,2613,1915,3,,,Active,,,http://www.redfin.com/IL/Chicago/2116-W-Haddon-Ave-60622/home/22818775,MRED,10129151,N,Y,41.902405,-87.6804376
MLS Listing,,Multi-Family (5+ Unit),2232 W Irving Park Rd,CHICAGO,IL,60618,1050000,2,8.0,North Center,,4531,1927,3,,,Active,,,http://www.redfin.com/IL/Chicago/2232-W-Irving-Park-Rd-60618/home/148009111,MRED,10129009,N,Y,41.9542309,-87.6849676
MLS Listing,,Vacant Land,2415 W PETERSON Ave,CHICAGO,IL,60659,1200000,,,West Ridge,,9147,,4,,,Active,,,http://www.redfin.com/IL/Chicago/2415-W-Peterson-Ave-60659/home/147979626,MRED,10128056,N,Y,41.9901758,-87.6904309
MLS Listing,,Condo/Co-op,2649 N Mildred Ave Unit 1N,CHICAGO,IL,60614,1100000,4,2.5,Lincoln Park,,6324,2018,4,,324,Active,,,http://www.redfin.com/IL/Chicago/2649-N-Mildred-Ave-60614/unit-1N/home/145246730,MRED,10127883,N,Y,41.9304702,-87.6510705
MLS Listing,,Single Family Residential,1912 W WELLINGTON Ave,CHICAGO,IL,60657,1050000,5,3.5,North Center,,3123,2003,4,,,Active,,,http://www.redfin.com/IL/Chicago/1912-W-Wellington-Ave-60657/home/13358743,MRED,10127759,N,Y,41.9361843,-87.6764319
MLS Listing,,Condo/Co-op,600 N Fairbanks Ct #1601,CHICAGO,IL,60611,1049000,3,2.5,Near North Side,1746,,2007,4,601,998,Active,,,http://www.redfin.com/IL/Chicago/600-N-Fairbanks-Ct-60611/unit-1601/home/39557831,MRED,10127571,N,Y,41.8930276,-87.6206457
MLS Listing,,Multi-Family (2-4 Unit),1711 N Albany Ave,CHICAGO,IL,60647,1199000,12,6.0,Humboldt Park,,2613,1903,4,,,Active,,,http://www.redfin.com/IL/Chicago/1711-N-Albany-Ave-60647/home/18951902,MRED,10127047,N,Y,41.9123489,-87.7043583
MLS Listing,,Condo/Co-op,1726 N Mohawk St Unit 1S,CHICAGO,IL,60614,1025000,3,4.0,Lincoln Park,,,1999,5,,296,Active,,,http://www.redfin.com/IL/Chicago/1726-N-Mohawk-St-60614/unit-1S/home/12770549,MRED,10126767,N,Y,41.9137069,-87.6425815
