SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,600 N Kingsbury St #506,CHICAGO,IL,60654,2470000,3,4.5,Near North Side,4357,,2002,38,567,2632,Active,,,http://www.redfin.com/IL/Chicago/600-N-Kingsbury-St-60654/unit-506/home/13165215,MRED,10097209,N,Y,41.8928361,-87.6415022
MLS Listing,,Condo/Co-op,180 E Pearson St #4404,CHICAGO,IL,60611,2100000,3,3.5,Near North Side,2754,,1975,1,763,2548,Active,,,http://www.redfin.com/IL/Chicago/180-E-Pearson-St-60611/unit-4404/home/14117435,MRED,10130586,N,Y,41.8978657,-87.6223555
MLS Listing,,Single Family Residential,1955 W Evergreen Ave,CHICAGO,IL,60622,2295000,5,6.0,West Town,6200,3898,1885,1,370,,Active,,,http://www.redfin.com/IL/Chicago/1955-W-Evergreen-Ave-60622/unit-3/home/14108402,MRED,10130515,N,Y,41.9057686,-87.6762008
MLS Listing,,Condo/Co-op,2550 N Lakeview Ave Unit N1801,CHICAGO,IL,60614,2595000,3,3.5,Lincoln Park,2343,,2012,1,1108,1586,Active,,,http://www.redfin.com/IL/Chicago/2550-N-Lakeview-Ave-60614/unit-N1801/home/64225977,MRED,10130479,N,Y,41.9292143,-87.6394129
MLS Listing,,Condo/Co-op,111 S Peoria St Ph 01,CHICAGO,IL,60607,2250000,3,3.0,Near West Side,2835,,2017,1,794,747,Active,,,http://www.redfin.com/IL/Chicago/111-S-Peoria-St-60607/unit-01/home/148025275,MRED,10130076,N,Y,41.880043,-87.6493069
MLS Listing,,Single Family Residential,1317 W Melrose St,CHICAGO,IL,60657,2295000,5,5.5,Lake View,4700,3125,2013,1,488,,Active,,,http://www.redfin.com/IL/Chicago/1317-W-Melrose-St-60657/home/13381414,MRED,10130014,N,Y,41.9404657,-87.6621781
MLS Listing,,Single Family Residential,3909 N Janssen Ave,CHICAGO,IL,60613,2150000,6,6.0,Lake View,5000,527,2019,1,430,,Active,November-10-2018 11:30 AM,November-10-2018 01:00 PM,http://www.redfin.com/IL/Chicago/3909-N-Janssen-Ave-60613/home/148025160,MRED,10130008,N,Y,41.9528536,-87.6654527
MLS Listing,,Single Family Residential,438 W St James Pl,CHICAGO,IL,60614,2749500,7,6.5,Lincoln Park,7000,4865,,1,393,,Active,,,http://www.redfin.com/IL/Chicago/438-W-St-James-Pl-60614/home/13366303,MRED,10129969,N,Y,41.92847,-87.640671
MLS Listing,,Condo/Co-op,9 W Walton St #1102,CHICAGO,IL,60610,3650000,3,3.5,Near North Side,2745,,2018,3,1330,1812,Active,,,http://www.redfin.com/IL/Chicago/9-W-Walton-St-60610/unit-1102/home/101819227,MRED,10128873,N,Y,41.8997345,-87.6287474
MLS Listing,,Condo/Co-op,2773 N Hampden Ct Unit 303-04,CHICAGO,IL,60614,2400000,4,5.5,Lincoln Park,4506,,2019,3,533,670,Active,November-10-2018 12:00 PM,November-10-2018 06:00 PM,http://www.redfin.com/IL/Chicago/2773-N-Hampden-Ct-60614/unit-303-04/home/148007240,MRED,10128825,N,Y,41.932465,-87.642454
MLS Listing,,Single Family Residential,3810 N Wayne Ave,CHICAGO,IL,60613,2725000,6,5.5,Lake View,6372,4199,2018,3,428,,Active,,,http://www.redfin.com/IL/Chicago/3810-N-Wayne-Ave-60613/home/13384811,MRED,10128710,N,Y,41.9513957,-87.6631702
MLS Listing,,Vacant Land,3333 N Lincoln Ave,CHICAGO,IL,60657,2250000,,,Lake View,,6969,,4,,,Active,,,http://www.redfin.com/IL/Chicago/3333-N-Lincoln-Ave-60657/home/13385103,MRED,10127565,N,Y,41.9425303,-87.6704227
MLS Listing,,Townhouse,20 N Loomis St Unit B,CHICAGO,IL,60607,2298000,5,6.0,Near West Side,5634,,2016,4,408,319,Active,,,http://www.redfin.com/IL/Chicago/20-N-Loomis-St-60607/unit-B/home/113006873,MRED,10127568,N,Y,41.8821836,-87.6623074
