SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,720 W Gordon Ter Unit 17G,CHICAGO,IL,60613,125000,0,1.0,Uptown,550,,1966,1,227,363,Active,,,http://www.redfin.com/IL/Chicago/720-W-Gordon-Ter-60613/unit-17G/home/13396948,MRED,10130733,N,Y,41.9580792,-87.6486484
MLS Listing,,Single Family Residential,11485 S CHURCH St,CHICAGO,IL,60643,124900,5,2.0,Morgan Park,1680,4473,1925,1,74,,Active,,,http://www.redfin.com/IL/Chicago/11485-S-Church-St-60643/unit-1/home/13069282,MRED,10130723,N,Y,41.6848326,-87.6688433
MLS Listing,,Multi-Family (2-4 Unit),6510 S SAINT LAWRENCE Ave,CHICAGO,IL,60637,125000,6,2.0,Woodlawn,,2613,1895,1,,,Active,,,http://www.redfin.com/IL/Chicago/6510-S-St-Lawrence-Ave-60637/home/13928695,MRED,10130105,N,Y,41.776213,-87.611079
MLS Listing,,Single Family Residential,8300 S East End Ave,CHICAGO,IL,60617,114900,3,1.0,Avalon Park,1400,4599,1920,1,82,,Active,,,http://www.redfin.com/IL/Chicago/8300-S-East-End-Ave-60617/home/13219830,MRED,10129904,N,Y,41.7440033,-87.5831236
MLS Listing,,Single Family Residential,8152 S Campbell Ave,CHICAGO,IL,60652,100000,2,2.0,Ashburn,1273,3750,1943,2,79,,Active,,,http://www.redfin.com/IL/Chicago/8152-S-Campbell-Ave-60652/home/13964094,MRED,10129503,N,Y,41.7448992,-87.6854827
MLS Listing,,Condo/Co-op,6166 N Sheridan Rd Unit 10B,CHICAGO,IL,60660,125000,1,1.5,Edgewater,900,,1968,2,139,554,Active,,,http://www.redfin.com/IL/Chicago/6166-N-Sheridan-Rd-60660/unit-10B/home/13413264,MRED,10129483,N,Y,41.994279,-87.6560707
MLS Listing,,Condo/Co-op,1729 E 67th St Unit 1E,CHICAGO,IL,60649,125000,2,3.0,South Shore,800,1000,,2,156,396,Active,,,http://www.redfin.com/IL/Chicago/1729-E-67th-St-60649/unit-1E/home/12660704,MRED,10129369,N,Y,41.7731,-87.582884
MLS Listing,,Condo/Co-op,4859 W Roscoe St #1,CHICAGO,IL,60641,118500,1,1.0,Portage Park,800,,1930,3,148,250,Active,,,http://www.redfin.com/IL/Chicago/4859-W-Roscoe-St-60641/unit-1/home/18918889,MRED,10129178,N,Y,41.9421869,-87.7492071
MLS Listing,,Condo/Co-op,4553 S Michigan Ave Unit 3W,CHICAGO,IL,60653,125000,2,1.0,Grand Boulevard,1000,7500,,3,125,171,Active,,,http://www.redfin.com/IL/Chicago/4553-S-Michigan-Ave-60653/unit-3W/home/12692832,MRED,10129172,N,Y,41.8115039,-87.622393
MLS Listing,,Condo/Co-op,5740 N SHERIDAN Rd Unit 16E,CHICAGO,IL,60660,110000,1,1.0,Edgewater,650,,1959,3,169,550,Active,,,http://www.redfin.com/IL/Chicago/5740-N-Sheridan-Rd-60660/unit-16E/home/13408572,MRED,10129146,N,Y,41.9866075,-87.6555312
MLS Listing,,Single Family Residential,1156 E 91st St,CHICAGO,IL,60619,125000,3,1.0,Burnside,1117,4043,1959,3,112,,Active,,,http://www.redfin.com/IL/Chicago/1156-E-91st-St-60619/home/13115056,MRED,10129098,N,Y,41.7296978,-87.5951449
MLS Listing,,Condo/Co-op,1703 W Wallen Ave Unit 1C,CHICAGO,IL,60626,125000,2,1.0,Rogers Park,900,,,3,139,336,Active,,,http://www.redfin.com/IL/Chicago/1703-W-Wallen-Ave-60626/unit-1C/home/13570164,MRED,10129019,N,Y,42.002325,-87.672929
MLS Listing,,Single Family Residential,7944 S MARYLAND Ave,CHICAGO,IL,60619,114900,4,2.0,Chatham,1100,3497,,3,104,,Active,,,http://www.redfin.com/IL/Chicago/7944-S-Maryland-Ave-60619/home/13224308,MRED,10128895,N,Y,41.7499221,-87.6041539
MLS Listing,,Condo/Co-op,5415 N Sheridan Rd #3203,CHICAGO,IL,60640,120000,0,1.0,Edgewater,600,,1974,3,200,398,Active,,,http://www.redfin.com/IL/Chicago/5415-N-Sheridan-Rd-60640/unit-3203/home/13400033,MRED,10128876,N,Y,41.9803143,-87.6544409
MLS Listing,,Multi-Family (5+ Unit),1112 S FRANCISCO Ave,CHICAGO,IL,60612,125000,26,12.0,North Lawndale,6300,3500,1904,3,20,,Active,,,http://www.redfin.com/IL/Chicago/1112-S-Francisco-Ave-60612/unit-1/home/13257698,MRED,10128751,N,Y,41.867862,-87.6987143
MLS Listing,,Multi-Family (5+ Unit),1110 S FRANCISCO Ave,CHICAGO,IL,60612,125000,24,12.0,North Lawndale,6300,3500,1914,3,20,,Active,,,http://www.redfin.com/IL/Chicago/1110-S-Francisco-Ave-60612/unit-1/home/13257699,MRED,10128728,N,Y,41.8679445,-87.6987176
MLS Listing,,Single Family Residential,2831 N Newland Ave,CHICAGO,IL,60634,124900,1,1.0,Montclare,620,4782,1914,3,201,,Active,,,http://www.redfin.com/IL/Chicago/2831-N-Newland-Ave-60634/home/13436112,MRED,10128729,N,Y,41.9318064,-87.7986381
MLS Listing,,Multi-Family (5+ Unit),1131 S Mozart St,CHICAGO,IL,60612,125000,30,12.0,North Lawndale,,3049,1910,3,,,Active,,,http://www.redfin.com/IL/Chicago/1131-S-Mozart-St-60612/home/13258034,MRED,10128709,N,Y,41.8673793,-87.6968417
MLS Listing,,Single Family Residential,11348 S Langley Ave,CHICAGO,IL,60628,120000,2,1.5,Pullman,1088,1986,1875,3,110,,Active,,,http://www.redfin.com/IL/Chicago/11348-S-Langley-Ave-60628/home/13060159,MRED,10128637,N,Y,41.68772,-87.6061117
MLS Listing,,Multi-Family (2-4 Unit),8132 S Escanaba Ave,CHICAGO,IL,60617,100000,5,3.0,South Chicago,,3049,1885,3,,,Active,,,http://www.redfin.com/IL/Chicago/8132-S-Escanaba-Ave-60617/home/13214380,MRED,10128418,N,Y,41.7472326,-87.5542733
MLS Listing,,Single Family Residential,12025 S Lafayette Ave,CHICAGO,IL,60628,120000,5,2.0,West Pullman,1000,3841,1919,3,120,,Active,,,http://www.redfin.com/IL/Chicago/12025-S-Lafayette-Ave-60628/home/13056982,MRED,10128379,N,Y,41.6754245,-87.6235163
MLS Listing,,Multi-Family (2-4 Unit),7939 S Hermitage Ave,CHICAGO,IL,60620,107000,6,3.0,Auburn Gresham,,3484,1921,3,,,Active,,,http://www.redfin.com/IL/Chicago/7939-S-Hermitage-Ave-60620/home/13909511,MRED,10128181,N,Y,41.749136,-87.6667147
MLS Listing,,Condo/Co-op,4940 S East End Ave Unit 19C,CHICAGO,IL,60615,119000,1,1.0,Kenwood,960,,1929,4,124,674,Active,,,http://www.redfin.com/IL/Chicago/4940-S-East-End-Ave-60615/unit-19C/home/13947880,MRED,10128137,N,Y,41.8049466,-87.585806
MLS Listing,,Single Family Residential,3640 W 54th St,CHICAGO,IL,60632,119900,2,1.5,West Elsdon,,6200,,4,,,Active,,,http://www.redfin.com/IL/Chicago/3640-W-54th-St-60632/home/14019690,MRED,10128064,N,Y,41.7953334,-87.7151258
MLS Listing,,Condo/Co-op,4800 S Chicago Beach Dr Unit 2504S,CHICAGO,IL,60615,119900,1,1.0,Kenwood,,,1962,4,,599,Active,,,http://www.redfin.com/IL/Chicago/4800-S-Chicago-Beach-Dr-60615/unit-2504S/home/13948127,MRED,10127915,N,Y,41.806603,-87.586581
MLS Listing,,Townhouse,4311 W 87TH St,HOMETOWN,IL,60456,119900,3,1.0,Hometown,966,4400,1952,4,124,,Active,,,http://www.redfin.com/IL/Hometown/4311-W-87th-St-60456/home/13182531,MRED,10127454,N,Y,41.7344529,-87.7297509
MLS Listing,,Condo/Co-op,2147 N Harlem Ave Unit 214R,CHICAGO,IL,60707,112500,2,1.0,Austin,1000,,1972,4,113,253,Active,,,http://www.redfin.com/IL/Chicago/2147-N-Harlem-Ave-60707/unit-214R/home/13432148,MRED,10127417,N,Y,41.9192342,-87.8056674
MLS Listing,,Condo/Co-op,4800 S Chicago Beach Dr Unit 1103N,CHICAGO,IL,60615,120000,1,1.0,Kenwood,773,,1965,4,155,684,Active,,,http://www.redfin.com/IL/Chicago/4800-S-Chicago-Beach-Dr-60615/unit-1103N/home/13947360,MRED,10127219,N,Y,41.806603,-87.586581
MLS Listing,,Multi-Family (2-4 Unit),1438 W 50th St,CHICAGO,IL,60609,105000,6,3.0,New City,,3125,,4,,,Active,,,http://www.redfin.com/IL/Chicago/1438-W-50th-St-60609/home/13954367,MRED,10127059,N,Y,41.8033968,-87.6614746
MLS Listing,,Single Family Residential,7443 S Bennett Ave,CHICAGO,IL,60649,119900,3,2.0,South Shore,1670,4556,1917,5,72,,Active,,,http://www.redfin.com/IL/Chicago/7443-S-Bennett-Ave-60649/home/13924425,MRED,10126964,N,Y,41.759451,-87.578845
MLS Listing,,Single Family Residential,1148 N LATROBE Ave,CHICAGO,IL,60651,104000,2,1.0,Austin,2156,4234,1910,5,48,,Active,,,http://www.redfin.com/IL/Chicago/1148-N-Latrobe-Ave-60651/home/13280562,MRED,10126508,N,Y,41.9018347,-87.7573242
MLS Listing,,Single Family Residential,12122 S Emerald Ave,CHICAGO,IL,60628,117000,4,1.5,West Pullman,1205,3750,1915,6,97,,Active,,,http://www.redfin.com/IL/Chicago/12122-S-Emerald-Ave-60628/home/13057952,MRED,10125842,N,Y,41.673455,-87.6408372
MLS Listing,,Single Family Residential,657 E 90TH St,CHICAGO,IL,60619,124500,3,2.0,Chatham,1475,5976,1916,6,84,,Active,,,http://www.redfin.com/IL/Chicago/657-E-90th-St-60619/home/13110497,MRED,10125042,N,Y,41.7308845,-87.6073365
MLS Listing,,Single Family Residential,353 W 102nd St,CHICAGO,IL,60628,108000,3,1.5,Roseland,1140,3310,1966,7,95,,Active,,,http://www.redfin.com/IL/Chicago/353-W-102nd-St-60628/home/13089409,MRED,10124965,N,Y,41.7086443,-87.6328089
MLS Listing,,Vacant Land,1914 N 72ND Ct,ELMWOOD PARK,IL,60707,124900,,,Elmwood Park,,5227,,7,,,Active,,,http://www.redfin.com/IL/Elmwood-Park/1914-N-72nd-Ct-60707/home/21875284,MRED,10124961,N,Y,41.914904,-87.807542
MLS Listing,,Townhouse,615 E 42nd St,CHICAGO,IL,60653,125000,3,1.0,Grand Boulevard,2002,1680,1870,7,62,,Active,,,http://www.redfin.com/IL/Chicago/615-E-42nd-St-60653/home/13961243,MRED,10124913,N,Y,41.8182805,-87.6109625
MLS Listing,,Multi-Family (2-4 Unit),3335 W Warren Blvd,CHICAGO,IL,60624,123000,5,2.0,East Garfield Park,,3049,1890,7,,,Active,,,http://www.redfin.com/IL/Chicago/3335-W-Warren-Blvd-60624/home/13260484,MRED,10124621,N,Y,41.881566,-87.709936
MLS Listing,,Single Family Residential,12625 S Saginaw Ave,CHICAGO,IL,60633,112899,3,1.0,Hegewisch,1040,3123,1962,7,109,,Active,,,http://www.redfin.com/IL/Chicago/12625-S-Saginaw-Ave-60633/home/13033854,MRED,10124534,N,Y,41.665722,-87.5577587
MLS Listing,,Multi-Family (2-4 Unit),6907 S Cornell Ave,CHICAGO,IL,60649,125000,4,2.0,South Shore,,3920,1883,8,,,Active,,,http://www.redfin.com/IL/Chicago/6907-S-Cornell-Ave-60649/unit-1/home/13927287,MRED,10124041,N,Y,41.7694858,-87.5841754
MLS Listing,,Single Family Residential,4849 W Walton St,CHICAGO,IL,60651,104000,3,1.5,Austin,1040,3149,1963,8,100,,Active,,,http://www.redfin.com/IL/Chicago/4849-W-Walton-St-60651/home/13279192,MRED,10123837,N,Y,41.8975397,-87.7477493
MLS Listing,,Single Family Residential,7606 S Clyde Ave,CHICAGO,IL,60649,100000,4,2.0,South Shore,1368,3781,1919,8,73,,Active,,,http://www.redfin.com/IL/Chicago/7606-S-Clyde-Ave-60649/home/13922286,MRED,10123813,N,Y,41.7567905,-87.5739753
MLS Listing,,Condo/Co-op,5950 N Kenmore Ave #401,CHICAGO,IL,60660,125000,1,1.0,Edgewater,800,,1969,9,156,293,Active,,,http://www.redfin.com/IL/Chicago/5950-N-Kenmore-Ave-60660/unit-401/home/13410796,MRED,10123429,N,Y,41.9905474,-87.6571111
MLS Listing,,Multi-Family (2-4 Unit),8952 S Houston Ave,CHICAGO,IL,60617,105000,6,2.0,South Chicago,,3750,1883,10,,,Active,,,http://www.redfin.com/IL/Chicago/8952-S-Houston-Ave-60617/home/13043595,MRED,10123293,N,Y,41.7321368,-87.550215
MLS Listing,,Condo/Co-op,7019 W Irving Park Rd #8,CHICAGO,IL,60634,111900,1,1.0,Dunning,750,,,10,149,170,Active,,,http://www.redfin.com/IL/Chicago/7019-W-Irving-Park-Rd-60634/unit-8/home/12702507,MRED,10123059,N,Y,41.9524563,-87.8019081
