SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,230 E Ontario St #2501,CHICAGO,IL,60611,199900,1,1.0,Near North Side,,,1969,26,,730,Active,,,http://www.redfin.com/IL/Chicago/230-E-Ontario-St-60611/unit-2501/home/14096780,MRED,10104338,N,Y,41.8936855,-87.6212856
MLS Listing,,Condo/Co-op,2909 N Sheridan Rd #1005,CHICAGO,IL,60657,179900,1,1.0,Lake View,700,,1956,70,257,470,Active,,,http://www.redfin.com/IL/Chicago/2909-N-Sheridan-Rd-60657/unit-1005/home/13370621,MRED,10064125,N,Y,41.9346757,-87.6388147
MLS Listing,,Condo/Co-op,4900 N Lawndale Ave Unit G,CHICAGO,IL,60625,189900,2,2.0,Albany Park,1100,,,1,173,192,Active,,,http://www.redfin.com/IL/Chicago/4900-Lawndale-Ave-60625/unit-G/home/12684823,MRED,10130845,N,Y,41.970321,-87.721088
MLS Listing,,Multi-Family (2-4 Unit),6432 S Peoria St,CHICAGO,IL,60621,179000,11,3.0,Englewood,,3484,1903,1,,,Active,,,http://www.redfin.com/IL/Chicago/6432-S-Peoria-St-60621/home/13932721,MRED,10130830,N,Y,41.7769242,-87.6475344
MLS Listing,,Condo/Co-op,4532 S Indiana Ave Unit 3N,CHICAGO,IL,60653,184900,3,2.0,Grand Boulevard,1600,,2005,1,116,241,Active,,,http://www.redfin.com/IL/Chicago/4532-S-Indiana-Ave-60653/unit-3N/home/18938302,MRED,10130828,N,Y,41.812078,-87.6216653
MLS Listing,,Single Family Residential,5317 S Artesian Ave,CHICAGO,IL,60632,189900,5,3.0,Gage Park,1620,3125,1898,1,117,,Active,,,http://www.redfin.com/IL/Chicago/5317-S-Artesian-Ave-60632/home/14014748,MRED,10130630,N,Y,41.7969063,-87.684982
MLS Listing,,Condo/Co-op,345 W Fullerton Pkwy #608,CHICAGO,IL,60614,179000,1,1.0,Lincoln Park,,,1972,1,,407,Active,,,http://www.redfin.com/IL/Chicago/345-W-Fullerton-Pkwy-60614/unit-608/home/13348547,MRED,10130425,N,Y,41.9252918,-87.6385564
MLS Listing,,Single Family Residential,3327 N Narragansett Ave,CHICAGO,IL,60634,199900,2,1.0,Dunning,1756,4438,1921,1,114,,Active,,,http://www.redfin.com/IL/Chicago/3327-N-Narragansett-Ave-60634/home/13465027,MRED,10130334,N,Y,41.9409341,-87.7858444
MLS Listing,,Townhouse,1815 W Norwood St,CHICAGO,IL,60660,189900,2,1.0,West Ridge,1144,1770,1954,1,166,,Active,,,http://www.redfin.com/IL/Chicago/1815-W-Norwood-St-60660/home/13404932,MRED,10130193,N,Y,41.991826,-87.675868
MLS Listing,,Single Family Residential,10219 S Green St,CHICAGO,IL,60643,187000,4,2.0,Washington Heights,1150,3628,1922,1,163,,Active,,,http://www.redfin.com/IL/Chicago/10219-S-Green-St-60643/home/13094104,MRED,10130140,N,Y,41.7080812,-87.6437668
MLS Listing,,Condo/Co-op,5060 N MARINE Dr Unit E6,CHICAGO,IL,60640,199900,2,2.0,Uptown,1400,,1939,1,143,742,Active,,,http://www.redfin.com/IL/Chicago/5060-N-Marine-Dr-60640/unit-E6/home/13399676,MRED,10129731,N,Y,41.974803,-87.6521957
MLS Listing,,Condo/Co-op,1636 N Rockwell St #101,CHICAGO,IL,60647,199900,2,1.0,West Town,,,,1,,220,Active,,,http://www.redfin.com/IL/Chicago/1636-N-Rockwell-St-60647/unit-101/home/12641048,MRED,10129727,N,Y,41.9114167,-87.69245
MLS Listing,,Condo/Co-op,2919 N Harlem Ave #415,CHICAGO,IL,60707,197000,2,1.0,Montclare,1080,,2003,2,182,251,Active,,,http://www.redfin.com/IL/Chicago/2919-N-Harlem-Ave-60707/unit-415/home/12684802,MRED,10129660,N,Y,41.933064,-87.806206
MLS Listing,,Townhouse,10449 S Kedzie Ave Unit B,CHICAGO,IL,60655,199000,2,1.5,Mount Greenwood,1105,,1990,2,180,170,Active,,,http://www.redfin.com/IL/Chicago/10449-S-Kedzie-Ave-60655/unit-B/home/147918110,MRED,10129653,N,Y,41.7029829,-87.7009226
MLS Listing,,Single Family Residential,3411 N Nagle Ave,CHICAGO,IL,60634,190000,2,1.0,Dunning,924,4917,1918,2,206,,Active,,,http://www.redfin.com/IL/Chicago/3411-N-Nagle-Ave-60634/home/13467777,MRED,10129621,N,Y,41.9423534,-87.7871509
MLS Listing,,Single Family Residential,7914 S Colfax Ave,CHICAGO,IL,60617,184900,4,3.0,South Chicago,1456,4155,1903,2,127,,Active,,,http://www.redfin.com/IL/Chicago/7914-S-Colfax-Ave-60617/home/13215024,MRED,10129565,N,Y,41.751284,-87.5616204
MLS Listing,,Multi-Family (2-4 Unit),6631 S Rhodes Ave,CHICAGO,IL,60637,179900,9,4.0,Woodlawn,,1440000,,2,,,Active,,,http://www.redfin.com/IL/Chicago/6631-S-Rhodes-Ave-60637/unit-1/home/12570328,MRED,10129528,N,Y,41.773895,-87.6115268
MLS Listing,,Single Family Residential,7831 S Michigan Ave,CHICAGO,IL,60619,199900,4,2.0,Greater Grand Crossing,1600,5998,1948,2,125,,Active,,,http://www.redfin.com/IL/Chicago/7831-S-Michigan-Ave-60619/home/13918435,MRED,10129294,N,Y,41.7519041,-87.6210483
MLS Listing,,Single Family Residential,9354 S Essex Ave,CHICAGO,IL,60617,185000,3,2.5,Calumet Heights,1300,3750,1958,3,142,,Active,,,http://www.redfin.com/IL/Chicago/9354-S-Essex-Ave-60617/home/12561913,MRED,10129092,N,Y,41.724659,-87.5634738
MLS Listing,,Single Family Residential,2462 E 74th Pl,CHICAGO,IL,60649,179900,5,3.0,South Shore,1678,5985,1951,3,107,,Active,,,http://www.redfin.com/IL/Chicago/2462-E-74th-Pl-60649/home/13217166,MRED,10128814,N,Y,41.7600757,-87.5639372
MLS Listing,,Single Family Residential,3728 W 78th St,CHICAGO,IL,60652,200000,3,2.0,Ashburn,1768,4961,,3,113,,Active,,,http://www.redfin.com/IL/Chicago/3728-W-78th-St-60652/home/13981706,MRED,10128769,N,Y,41.751558,-87.7153567
MLS Listing,,Condo/Co-op,1529 S STATE St Unit 8D,CHICAGO,IL,60605,175000,1,1.0,Near South Side,,,2001,3,,365,Active,,,http://www.redfin.com/IL/Chicago/1529-S-State-St-60605/unit-8D/home/12693533,MRED,10128752,N,Y,41.8611308,-87.6268519
MLS Listing,,Single Family Residential,13204 S Escanaba Ave,CHICAGO,IL,60633,184500,4,2.0,Hegewisch,1952,4687,1952,3,95,,Active,,,http://www.redfin.com/IL/Chicago/13204-S-Escanaba-Ave-60633/home/13031232,MRED,10128676,N,Y,41.6552773,-87.553472
MLS Listing,,Single Family Residential,9658 S Calumet Ave,CHICAGO,IL,60628,187000,3,2.0,Roseland,1060,3632,1953,3,176,,Active,,,http://www.redfin.com/IL/Chicago/9658-S-Calumet-Ave-60628/home/13089383,MRED,10128595,N,Y,41.7183503,-87.6155236
MLS Listing,,Single Family Residential,7006 W 74TH Pl,NOTTINGHAM PARK,IL,60638,200000,3,2.0,Burbank/Nottingham Park,1272,6699,1982,3,157,,Active,December-4-2018 12:00 PM,December-4-2018 02:00 PM,http://www.redfin.com/IL/Chicago/7006-W-74th-Pl-60638/home/13977656,MRED,10128571,N,Y,41.7566356,-87.7955073
MLS Listing,,Single Family Residential,9100 S Ada St,CHICAGO,IL,60620,179500,3,2.0,Washington Heights,1182,3781,1947,3,152,,Active,,,http://www.redfin.com/IL/Chicago/9100-S-Ada-St-60620/home/13103330,MRED,10128552,N,Y,41.7284644,-87.6570148
MLS Listing,,Multi-Family (2-4 Unit),1130 W 110th Pl,CHICAGO,IL,60643,180000,8,3.0,Morgan Park,,3049,1959,3,,,Active,,,http://www.redfin.com/IL/Chicago/1130-W-110th-Pl-60643/home/13074439,MRED,10128529,N,Y,41.6933557,-87.6510901
