SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,4044 N Marmora Ave,CHICAGO,IL,60634,374900,5,2.0,Portage Park,,3750,1923,4,,,Active,,,http://www.redfin.com/IL/Chicago/4044-N-Marmora-Ave-60634/home/13474293,MRED,10127175,N,Y,41.9544652,-87.7746614
MLS Listing,,Condo/Co-op,125 S Green St Unit 1110A,CHICAGO,IL,60607,360000,1,1.0,Near West Side,,,2007,5,,501,Active,,,http://www.redfin.com/IL/Chicago/125-S-Green-St-60607/unit-1110A/home/39569340,MRED,10126137,N,Y,41.8796382,-87.6482089
MLS Listing,,Condo/Co-op,525 N Halsted St #603,CHICAGO,IL,60642,359900,2,2.0,West Town,,,1888,20,,505,Active,,,http://www.redfin.com/IL/Chicago/525-N-Halsted-St-60642/unit-603/home/14102797,MRED,10113394,N,Y,41.891893,-87.647064
MLS Listing,,Condo/Co-op,835 W Belden Ave Unit U2,CHICAGO,IL,60614,368900,2,1.0,Lincoln Park,1100,,,25,335,386,Active,,,http://www.redfin.com/IL/Chicago/835-W-Belden-Ave-60614/unit-U2/home/13352857,MRED,10109629,N,Y,41.92335,-87.650091
MLS Listing,,Condo/Co-op,2865 N Clybourn Ave #3,CHICAGO,IL,60618,369000,2,2.0,North Center,1600,3238,2004,40,231,125,Active,,,http://www.redfin.com/IL/Chicago/2865-N-Clybourn-Ave-60618/unit-3/home/12636461,MRED,10094712,N,Y,41.9338461,-87.6797846
MLS Listing,,Condo/Co-op,901 W Madison St #1005,CHICAGO,IL,60607,375000,1,1.5,Near West Side,877,34973,2007,61,428,467,Active,,,http://www.redfin.com/IL/Chicago/901-W-Madison-St-60607/unit-1005/home/26818012,MRED,10073019,N,Y,41.8814073,-87.650281
MLS Listing,,Condo/Co-op,1000 N Lake Shore Dr #1501,CHICAGO,IL,60611,359999,2,2.0,Near North Side,,,1953,62,,1066,Active,,,http://www.redfin.com/IL/Chicago/1000-N-Lake-Shore-Dr-60611/unit-1501/home/14121600,MRED,10070795,N,Y,41.9012119,-87.6246453
MLS Listing,,Condo/Co-op,611 S Wells St #2504,CHICAGO,IL,60607,359999,1,2.0,Loop,,,2008,143,,530,Active,,,http://www.redfin.com/IL/Chicago/611-S-Wells-St-60607/unit-2504/home/40368708,MRED,09986837,N,Y,41.8741493,-87.6334072
MLS Listing,,Single Family Residential,10017 S Claremont Ave,CHICAGO,IL,60643,350000,4,2.0,Beverly,1898,6200,1954,1,184,,Active,,,http://www.redfin.com/IL/Chicago/10017-S-Claremont-Ave-60643/home/13097109,MRED,10130802,N,Y,41.7113007,-87.6802642
MLS Listing,,Single Family Residential,9126 S Yates Blvd,CHICAGO,IL,60617,350000,3,2.0,Calumet Heights,1700,3123,1951,1,206,,Active,,,http://www.redfin.com/IL/Chicago/9126-S-Yates-Blvd-60617/home/13115420,MRED,10130541,N,Y,41.729081,-87.566144
MLS Listing,,Condo/Co-op,740 W Fulton St #1212,CHICAGO,IL,60661,360000,1,1.0,Near West Side,,,2007,1,,436,Active,,,http://www.redfin.com/IL/Chicago/740-W-Fulton-St-60661/unit-1212/home/26780325,MRED,10130461,N,Y,41.8871855,-87.6472064
MLS Listing,,Condo/Co-op,1740 N Maplewood Ave #305,CHICAGO,IL,60647,373000,2,2.0,West Town,1200,,,1,311,318,Active,November-11-2018 11:00 AM,November-11-2018 01:00 PM,http://www.redfin.com/IL/Chicago/1740-N-Maplewood-Ave-60647/unit-305/home/12707756,MRED,10130358,N,Y,41.9135051,-87.6914529
MLS Listing,,Condo/Co-op,2343 N Greenview Ave #212,CHICAGO,IL,60614,350000,2,1.0,Lincoln Park,1400,,,1,250,278,Active,November-10-2018 12:00 PM,November-10-2018 02:00 PM,http://www.redfin.com/IL/Chicago/2343-N-Greenview-Ave-60614/unit-212/home/13354151,MRED,10130119,N,Y,41.9245044,-87.6654325
MLS Listing,,Condo/Co-op,3500 N LAKE SHORE Dr Unit 4A,CHICAGO,IL,60657,370000,2,2.5,Lake View,2500,,1929,1,148,2049,Active,,,http://www.redfin.com/IL/Chicago/3500-N-Lake-Shore-Dr-60657/unit-4A/home/18367883,MRED,10129986,N,Y,41.9469092,-87.6428605
MLS Listing,,Condo/Co-op,1001 W 15th St #409,CHICAGO,IL,60608,359000,2,2.0,Near West Side,1217,,,1,295,462,Active,,,http://www.redfin.com/IL/Chicago/1001-W-15th-St-60608/unit-409/home/18917294,MRED,10129708,N,Y,41.8613621,-87.652515
MLS Listing,,Single Family Residential,3768 N Oleander Ave,CHICAGO,IL,60634,369900,3,2.0,Dunning,1400,4887,1950,2,264,,Active,,,http://www.redfin.com/IL/Chicago/3768-N-Oleander-Ave-60634/home/13543834,MRED,10129430,N,Y,41.9485958,-87.8159595
MLS Listing,,Multi-Family (2-4 Unit),6157 W Rosedale Ave,CHICAGO,IL,60646,360000,4,2.5,Norwood Park,,5227,1952,3,,,Active,,,http://www.redfin.com/IL/Chicago/6157-W-Rosedale-Ave-60646/home/13512301,MRED,10129272,N,Y,41.9882807,-87.7820018
MLS Listing,,Single Family Residential,4914 S Washington Park Ct,CHICAGO,IL,60615,364900,4,3.5,Grand Boulevard,3000,1616,1916,3,122,,Active,,,http://www.redfin.com/IL/Chicago/4914-S-Washington-Park-Ct-60615/home/13950636,MRED,10129236,N,Y,41.8052328,-87.6153409
MLS Listing,,Condo/Co-op,565 W Quincy St #704,CHICAGO,IL,60661,360000,1,1.5,Near West Side,1058,,2008,3,340,476,Active,November-11-2018 01:00 PM,November-11-2018 03:00 PM,http://www.redfin.com/IL/Chicago/565-W-Quincy-St-60661/unit-704/home/26838415,MRED,10128701,N,Y,41.8783464,-87.6420845
MLS Listing,,Multi-Family (2-4 Unit),2144 N Lockwood Ave,CHICAGO,IL,60639,364900,5,2.0,Belmont Cragin,,,1925,3,,,Active,,,http://www.redfin.com/IL/Chicago/2144-N-Lockwood-Ave-60639/home/13426159,MRED,10128678,N,Y,41.9199581,-87.7587467
MLS Listing,,Multi-Family (2-4 Unit),3016 N LARAMIE Ave,CHICAGO,IL,60641,350000,4,3.0,Belmont Cragin,,2500,1928,3,,,Active,,,http://www.redfin.com/IL/Chicago/3016-N-Laramie-Ave-60641/home/13442184,MRED,10128364,N,Y,41.9356029,-87.7569542
MLS Listing,,Condo/Co-op,3201 N RAVENSWOOD Ave #211,CHICAGO,IL,60657,350000,2,1.5,Lake View,,,,4,,225,Active,November-10-2018 10:00 AM,November-10-2018 12:00 PM,http://www.redfin.com/IL/Chicago/3201-N-Ravenswood-Ave-60657/unit-211/home/13384247,MRED,10127921,N,Y,41.9399937,-87.6731451
MLS Listing,,Multi-Family (5+ Unit),2247 119th St,BLUE ISLAND,IL,60406,359000,8,8.0,Blue Island,,3484,1970,4,,,Active,,,http://www.redfin.com/IL/Blue-Island/2247-119th-St-60406/home/13052229,MRED,10127823,N,Y,41.676981,-87.677641
MLS Listing,,Condo/Co-op,1811 W Addison St Unit 1E,CHICAGO,IL,60613,365000,2,2.0,North Center,1350,,2002,4,270,295,Active,,,http://www.redfin.com/IL/Chicago/1811-W-Addison-St-60613/unit-1E/home/145029576,MRED,10127819,N,Y,41.9467558,-87.6745233
MLS Listing,,Condo/Co-op,50 E 16th St #909,CHICAGO,IL,60616,359900,2,1.0,Near South Side,1121,,2008,4,321,528,Active,,,http://www.redfin.com/IL/Chicago/50-E-16th-St-60616/unit-909/home/40382053,MRED,10127346,N,Y,41.8603978,-87.6251552
MLS Listing,,Single Family Residential,7056 N Overhill Ave,CHICAGO,IL,60631,359900,6,1.5,Edison Park,,4264,1921,4,,,Active,,,http://www.redfin.com/IL/Chicago/7056-N-Overhill-Ave-60631/home/13638122,MRED,10127298,N,Y,42.0094529,-87.8190314
MLS Listing,,Condo/Co-op,1819 S Michigan Ave #905,CHICAGO,IL,60616,359900,2,2.0,Near South Side,1200,,2006,5,300,379,Active,,,http://www.redfin.com/IL/Chicago/1819-S-Michigan-Ave-60616/unit-905/home/26821214,MRED,10126968,N,Y,41.8572253,-87.6236513
MLS Listing,,Single Family Residential,3226 N Natoma Ave,CHICAGO,IL,60634,359900,5,3.0,Dunning,2100,3750,1937,5,171,,Active,,,http://www.redfin.com/IL/Chicago/3226-N-Natoma-Ave-60634/home/13467949,MRED,10126786,N,Y,41.9390449,-87.7923378
