SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,5044 N Marine Dr Unit C1,CHICAGO,IL,60640,75000,1,1.0,Uptown,,81075,1939,31,,569,Active,,,http://www.redfin.com/IL/Chicago/5044-N-Marine-Dr-60640/unit-C1/home/13399687,MRED,10104518,N,Y,41.974803,-87.6521957
MLS Listing,,Multi-Family (2-4 Unit),8209 S Coles Ave,CHICAGO,IL,60617,79900,4,2.0,South Chicago,,3049,,1,,,Active,,,http://www.redfin.com/IL/Chicago/8209-S-Coles-Ave-60617/home/13213561,MRED,10130732,N,Y,41.7461656,-87.5488661
MLS Listing,,Vacant Land,3403 S Ashland Ave,CHICAGO,IL,60608,95000,,,McKinley Park,,3049,,1,,,Active,,,http://www.redfin.com/IL/Chicago/3403-S-Ashland-Ave-60608/home/104060339,MRED,10130681,N,Y,41.832151,-87.665182
MLS Listing,,Single Family Residential,10038 S Emerald Ave,CHICAGO,IL,60628,95000,2,1.0,Washington Heights,1581,3624,1923,1,60,,Active,,,http://www.redfin.com/IL/Chicago/10038-S-Emerald-Ave-60628/home/13091244,MRED,10130520,N,Y,41.7112435,-87.641984
MLS Listing,,Multi-Family (2-4 Unit),8524 S BUFFALO Ave,CHICAGO,IL,60617,94900,6,2.0,South Chicago,,3049,1885,1,,,Active,,,http://www.redfin.com/IL/Chicago/8524-S-Buffalo-Ave-60617/unit-1/home/13211398,MRED,10130353,N,Y,41.7403731,-87.5445257
MLS Listing,,Condo/Co-op,4855 N Springfield Ave Unit 3849-G,CHICAGO,IL,60625,99900,2,1.0,Albany Park,895,,,1,112,188,Active,,,http://www.redfin.com/IL/Chicago/4855-N-Springfield-Ave-60625/unit-3849-G/home/105386012,MRED,10130338,N,Y,41.9699645,-87.7252673
MLS Listing,,Condo/Co-op,7427 N Ridge Blvd Unit LGF,CHICAGO,IL,60645,99000,1,1.0,Rogers Park,900,,1962,1,110,254,Active,,,http://www.redfin.com/IL/Chicago/7427-N-Ridge-Blvd-60645/unit-LGF/home/12756085,MRED,10123095,N,Y,42.016833,-87.6838975
MLS Listing,,Single Family Residential,10038 S Avenue M,CHICAGO,IL,60617,89900,3,1.0,East Side,1012,3123,1870,1,89,,Active,,,http://www.redfin.com/IL/Chicago/10038-S-Ave-M-60617/home/13039098,MRED,10121754,N,Y,41.7126809,-87.5379278
MLS Listing,,Single Family Residential,7827 S Ingleside Ave,CHICAGO,IL,60619,89900,3,2.0,Greater Grand Crossing,1600,3624,1893,1,56,,Active,,,http://www.redfin.com/IL/Chicago/7827-S-Ingleside-Ave-60619/unit-1/home/13920844,MRED,10129913,N,Y,41.7523327,-87.6012144
MLS Listing,,Condo/Co-op,5530 S Shore Dr Unit 8C,CHICAGO,IL,60637,99000,2,2.0,Hyde Park,1200,,1949,1,83,993,Active,,,http://www.redfin.com/IL/Chicago/5530-S-Shore-Dr-60637/unit-8C/home/147181953,MRED,10129836,N,Y,41.7942808,-87.5807885
