SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,5044 N Marine Dr Unit C1,CHICAGO,IL,60640,75000,1,1.0,Uptown,,81075,1939,31,,569,Active,,,http://www.redfin.com/IL/Chicago/5044-N-Marine-Dr-60640/unit-C1/home/13399687,MRED,10104518,N,Y,41.974803,-87.6521957
MLS Listing,,Single Family Residential,7738 S MARSHFIELD Ave,CHICAGO,IL,60620,69000,5,2.0,Auburn Gresham,948,3750,1951,1,73,,Active,,,http://www.redfin.com/IL/Chicago/7738-S-Marshfield-Ave-60620/home/13909153,MRED,10130856,N,Y,41.752763,-87.6649522
MLS Listing,,Single Family Residential,8723 S Halsted St,CHICAGO,IL,60620,64500,3,1.0,Auburn Gresham,1060,2700,1961,1,61,,Active,,,http://www.redfin.com/IL/Chicago/8723-S-Halsted-St-60620/home/13109014,MRED,10130817,N,Y,41.7351814,-87.643256
MLS Listing,,Vacant Land,5209 S Lorel Ave,CHICAGO,IL,60638,60000,,,Garfield Ridge,,3484,,1,,,Active,,,http://www.redfin.com/IL/Chicago/5209-S-Lorel-Ave-60638/unit-1/home/14024367,MRED,10130717,N,Y,41.7980277,-87.7559111
MLS Listing,,Multi-Family (2-4 Unit),6508 S Rockwell St,CHICAGO,IL,60629,74500,6,2.0,Chicago Lawn,,3484,1921,1,,,Active,,,http://www.redfin.com/IL/Chicago/6508-S-Rockwell-St-60629/home/13987232,MRED,10130660,N,Y,41.7751549,-87.6887174
MLS Listing,,Multi-Family (2-4 Unit),958 W MARQUETTE Rd,CHICAGO,IL,60621,69900,5,2.0,Englewood,,10890,1898,1,,,Active,,,http://www.redfin.com/IL/Chicago/958-W-Marquette-Rd-60621/home/13932451,MRED,10130387,N,Y,41.7725718,-87.6493459
MLS Listing,,Single Family Residential,6942 S Calumet Ave,CHICAGO,IL,60637,55620,3,1.0,Greater Grand Crossing,1518,4748,1910,1,37,,Active,,,http://www.redfin.com/IL/Chicago/6942-S-Calumet-Ave-60637/home/13929876,MRED,10130331,N,Y,41.7680276,-87.6172302
MLS Listing,,Condo/Co-op,2043 E 72nd St Unit 1C,CHICAGO,IL,60649,59000,2,1.0,South Shore,663,,,1,89,341,Active,,,http://www.redfin.com/IL/Chicago/2043-E-72nd-St-60649/unit-1C/home/13924737,MRED,10130069,N,Y,41.7641143,-87.5738697
MLS Listing,,Single Family Residential,12612 S Michigan Ave,CHICAGO,IL,60628,55000,3,1.5,West Pullman,1040,3123,1955,1,53,,Active,,,http://www.redfin.com/IL/Chicago/12612-S-Michigan-Ave-60628/home/13055291,MRED,10129703,N,Y,41.6639934,-87.620277
MLS Listing,,Condo/Co-op,5000 N MARINE Dr Unit 5B,CHICAGO,IL,60640,75000,1,1.0,Uptown,,,1923,2,,1367,Active,,,http://www.redfin.com/IL/Chicago/5000-N-Marine-Dr-60640/unit-5B/home/17162664,MRED,10129284,N,Y,41.9736041,-87.6516775
MLS Listing,,Single Family Residential,9540 S Indiana Ave,CHICAGO,IL,60628,58000,4,2.0,Roseland,,4800,1954,3,,,Active,,,http://www.redfin.com/IL/Chicago/9540-S-Indiana-Ave-60628/home/13090373,MRED,10129194,N,Y,41.7205372,-87.6192743
MLS Listing,,Condo/Co-op,4280 W Ford City Dr #508,CHICAGO,IL,60652,55000,2,2.0,West Lawn,900,,1970,3,61,350,Active,,,http://www.redfin.com/IL/Chicago/4280-W-Ford-City-Dr-60652/unit-508/home/101677815,MRED,10129158,N,Y,41.753945,-87.730524
MLS Listing,,Single Family Residential,11739 S Harvard Ave,CHICAGO,IL,60628,59900,5,2.0,West Pullman,2000,4613,1895,3,30,,Active,,,http://www.redfin.com/IL/Chicago/11739-S-Harvard-Ave-60628/home/13062094,MRED,10128962,N,Y,41.6804799,-87.6309197
MLS Listing,,Single Family Residential,8342 S Oglesby Ave,CHICAGO,IL,60617,55000,4,1.0,South Chicago,,3750,1918,3,,,Active,,,http://www.redfin.com/IL/Chicago/8342-S-Oglesby-Ave-60617/home/13218507,MRED,10128865,N,Y,41.7431716,-87.5676052
MLS Listing,,Single Family Residential,730 W 48th Pl,CHICAGO,IL,60609,72250,2,1.0,New City,891,3000,1898,3,81,,Active,,,http://www.redfin.com/IL/Chicago/730-W-48th-Pl-60609/home/13952943,MRED,10128445,N,Y,41.8063318,-87.6442968
MLS Listing,,Single Family Residential,8956 S Justine St,CHICAGO,IL,60620,59900,3,2.0,Washington Heights,1267,3345,1949,3,47,,Active,,,http://www.redfin.com/IL/Chicago/8956-S-Justine-St-60620/home/13105393,MRED,10128393,N,Y,41.7304695,-87.6619469
MLS Listing,,Single Family Residential,9822 S Emerald Ave,CHICAGO,IL,60628,60000,3,1.0,Washington Heights,969,3123,1961,3,62,,Active,,,http://www.redfin.com/IL/Chicago/9822-S-Emerald-Ave-60628/home/13093490,MRED,10128279,N,Y,41.7152911,-87.6421382
