SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,1940 N Cleveland Ave #4,CHICAGO,IL,60614,649900,2,2.0,Lincoln Park,1800,,1890,12,361,242,Active,,,http://www.redfin.com/IL/Chicago/1940-N-Cleveland-Ave-60614/unit-4/home/144977614,MRED,10110875,N,Y,41.917658,-87.6415985
MLS Listing,,Condo/Co-op,4011 N Paulina St Unit 2N,CHICAGO,IL,60613,649000,3,2.0,Lake View,1800,,2015,17,361,210,Active,,,http://www.redfin.com/IL/Chicago/4011-N-Paulina-St-60613/unit-2N/home/79385819,MRED,10116904,N,Y,41.95463,-87.6701609
MLS Listing,,Condo/Co-op,532 N Hermitage Ave #2,CHICAGO,IL,60622,649900,3,2.5,West Town,2000,,2012,19,325,240,Active,,,http://www.redfin.com/IL/Chicago/532-N-Hermitage-Ave-60622/unit-2/home/113042417,MRED,10114894,N,Y,41.8919522,-87.6707357
MLS Listing,,Single Family Residential,4106 N St Louis Ave,CHICAGO,IL,60618,650000,4,3.5,Irving Park,3600,3149,2008,20,181,,Active,,,http://www.redfin.com/IL/Chicago/4106-N-St-Louis-Ave-60618/home/13482818,MRED,10113595,N,Y,41.955964,-87.715781
MLS Listing,,Condo/Co-op,743 W Buckingham Pl #2,CHICAGO,IL,60657,649900,3,2.5,Lake View,,,,32,,247,Active,,,http://www.redfin.com/IL/Chicago/743-W-Buckingham-Pl-60657/unit-2/home/12773668,MRED,10103349,N,Y,41.9425566,-87.6486556
MLS Listing,,Condo/Co-op,849 N Franklin St #507,CHICAGO,IL,60610,650000,3,2.0,Near North Side,1790,,2006,48,363,989,Active,,,http://www.redfin.com/IL/Chicago/849-N-Franklin-St-60610/unit-507/home/26812167,MRED,10087113,N,Y,41.8979058,-87.6353738
MLS Listing,,Single Family Residential,4643 W Grace St,CHICAGO,IL,60641,640000,5,3.5,Portage Park,2239,3162,1919,62,286,,Active,,,http://www.redfin.com/IL/Chicago/4643-W-Grace-St-60641/home/64225581,MRED,10058807,N,Y,41.9495758,-87.7442495
MLS Listing,,Condo/Co-op,3021 N Southport Ave Unit 4A,CHICAGO,IL,60657,630000,2,2.0,Lake View,,,2007,76,,291,Active,,,http://www.redfin.com/IL/Chicago/3021-N-Southport-Ave-60657/unit-4A/home/26794106,MRED,10058997,N,Y,41.9368093,-87.6632954
MLS Listing,,Single Family Residential,2350 N Oak Park Ave,CHICAGO,IL,60707,650000,5,3.5,Montclare,4294,11280,1892,147,151,,Active,,,http://www.redfin.com/IL/Chicago/2350-N-Oak-Park-Ave-60707/home/13432519,MRED,09981146,N,Y,41.9226443,-87.7955649
MLS Listing,,Condo/Co-op,21 E Huron St #3302,CHICAGO,IL,60611,644000,1,1.5,Near North Side,1210,,2005,1,532,768,Active,,,http://www.redfin.com/IL/Chicago/21-E-Huron-St-60611/unit-3302/home/12648126,MRED,10130658,N,Y,41.8945046,-87.6271296
MLS Listing,,Multi-Family (2-4 Unit),918 N Mozart St,CHICAGO,IL,60622,615000,6,3.0,West Town,,3049,1885,1,,,Active,,,http://www.redfin.com/IL/Chicago/918-N-Mozart-St-60622/home/13288655,MRED,10130036,N,Y,41.8986645,-87.6982758
MLS Listing,,Townhouse,327 E 17th St,CHICAGO,IL,60616,647000,2,2.5,Near South Side,2256,640,2007,1,287,300,Active,,,http://www.redfin.com/IL/Chicago/327-E-17th-St-60616/home/26792020,MRED,10129684,N,Y,41.8587915,-87.619847
MLS Listing,,Condo/Co-op,1355 W Winnemac Ave #2,CHICAGO,IL,60640,624900,3,2.0,Uptown,1700,4216,2018,3,368,133,Active,,,http://www.redfin.com/IL/Chicago/1355-W-Winnemac-Ave-60640/unit-2/home/12567138,MRED,10129051,N,Y,41.9733485,-87.6643261
MLS Listing,,Condo/Co-op,2101 W Rice St #308,CHICAGO,IL,60622,604900,2,2.5,West Town,2000,21754,2002,3,302,583,Active,,,http://www.redfin.com/IL/Chicago/2101-W-Rice-St-60622/unit-308/home/12724578,MRED,10128944,N,Y,41.8964928,-87.6799059
MLS Listing,,Condo/Co-op,1250 S MICHIGAN Ave #2606,CHICAGO,IL,60605,625000,3,2.0,Near South Side,1774,,2005,3,352,828,Active,,,http://www.redfin.com/IL/Chicago/1250-S-Michigan-Ave-60605/unit-2606/home/18948180,MRED,10128301,N,Y,41.8660667,-87.6245229
MLS Listing,,Condo/Co-op,1127 W WRIGHTWOOD Ave Unit 1W,CHICAGO,IL,60614,649900,3,3.0,Lincoln Park,,,1998,3,,196,Active,,,http://www.redfin.com/IL/Chicago/1127-W-Wrightwood-Ave-60614/unit-1W/home/12771879,MRED,10128216,N,Y,41.9287466,-87.6572459
MLS Listing,,Condo/Co-op,3632 N Lakewood Ave #3,CHICAGO,IL,60613,650000,3,2.0,Lake View,1870,4428,1998,4,348,238,Active,,,http://www.redfin.com/IL/Chicago/3632-N-Lakewood-Ave-60613/unit-3/home/12774478,MRED,10127859,N,Y,41.9480604,-87.6619538
MLS Listing,,Single Family Residential,5415 N Francisco Ave,CHICAGO,IL,60625,649900,5,3.0,Lincoln Square,3600,8000,1951,4,181,,Active,,,http://www.redfin.com/IL/Chicago/5415-N-Francisco-Ave-60625/home/12619858,MRED,10127754,N,Y,41.980006,-87.7012616
MLS Listing,,Condo/Co-op,1736 W Augusta Blvd #2,CHICAGO,IL,60622,650000,3,2.5,West Town,2200,,2007,4,295,159,Active,,,http://www.redfin.com/IL/Chicago/1736-W-Augusta-Blvd-60622/unit-2/home/147970042,MRED,10127667,N,Y,41.8998278,-87.6712996
MLS Listing,,Single Family Residential,1739 W JULIAN St,CHICAGO,IL,60622,609000,3,1.0,West Town,800,2400,1888,4,761,,Active,,,http://www.redfin.com/IL/Chicago/1739-W-Julian-St-60622/home/14106981,MRED,10127664,N,Y,41.9081432,-87.6716575
MLS Listing,,Condo/Co-op,2219 W Wabansia Ave Unit 1W,CHICAGO,IL,60647,649000,3,3.0,West Town,2200,6250,2012,4,295,381,Active,,,http://www.redfin.com/IL/Chicago/2219-W-Wabansia-Ave-60647/unit-1W/home/40342297,MRED,10127547,N,Y,41.9124049,-87.6833559
MLS Listing,,Single Family Residential,4732 N Laporte Ave,CHICAGO,IL,60630,629000,6,4.5,Portage Park,3400,3689,1942,4,185,,Active,,,http://www.redfin.com/IL/Chicago/4732-N-Laporte-Ave-60630/home/13477857,MRED,10126972,N,Y,41.9671132,-87.7516622
MLS Listing,,Condo/Co-op,450 E Waterside Dr #601,CHICAGO,IL,60601,635000,2,2.0,Loop,1153,,2007,5,551,624,Active,,,http://www.redfin.com/IL/Chicago/Undisclosed-address-60601/home/26780605,MRED,10126963,N,Y,41.887094,-87.6153778
MLS Listing,,Condo/Co-op,2423 W Haddon Ave #1,CHICAGO,IL,60622,600000,3,2.5,West Town,2600,,2018,5,231,259,Active,,,http://www.redfin.com/IL/Chicago/2423-W-Haddon-Ave-60622/unit-1/home/146077799,MRED,10126748,N,Y,41.9018584,-87.6879472
MLS Listing,,Condo/Co-op,2506 N Rockwell St Unit 1N,CHICAGO,IL,60647,640000,3,2.5,Logan Square,2400,,2015,5,267,166,Active,,,http://www.redfin.com/IL/Chicago/2506-N-Rockwell-St-60647/unit-1N/home/102066435,MRED,10126438,N,Y,41.926934,-87.692933
MLS Listing,,Townhouse,1349 N Leavitt St Unit 1A,CHICAGO,IL,60622,640000,3,2.5,West Town,,3600,2016,5,,150,Active,,,http://www.redfin.com/IL/Chicago/1349-N-Leavitt-St-60622/unit-1A/home/109006175,MRED,10126269,N,Y,41.906405,-87.681839
MLS Listing,,Condo/Co-op,130 S Canal St Unit 9L,CHICAGO,IL,60606,600000,2,2.5,Near West Side,1900,,1949,5,316,1066,Active,,,http://www.redfin.com/IL/Chicago/130-S-Canal-St-60606/unit-9L/home/12764047,MRED,10126271,N,Y,41.87964,-87.640368
MLS Listing,,Condo/Co-op,2636 N Lakewood Ave Unit 1N,CHICAGO,IL,60614,650000,2,2.0,Lincoln Park,1700,8928,2010,5,382,225,Active,,,http://www.redfin.com/IL/Chicago/2636-N-Lakewood-Ave-60614/unit-1N/home/40368758,MRED,10126252,N,Y,41.929956,-87.661392
MLS Listing,,Vacant Land,3531 N Milwaukee Ave,CHICAGO,IL,60641,649000,,,Irving Park,,7405,,5,,,Active,,,http://www.redfin.com/IL/Chicago/3531-N-Milwaukee-Ave-60641/home/113531225,MRED,10126093,N,Y,41.9450829,-87.732962
MLS Listing,,Single Family Residential,3910 N Kedzie Ave,CHICAGO,IL,60618,629900,4,3.5,Irving Park,3400,3907,,5,185,,Active,,,http://www.redfin.com/IL/Chicago/3910-N-Kedzie-Ave-60618/home/13455378,MRED,10126005,N,Y,41.9525159,-87.708323
MLS Listing,,Townhouse,950 W Berwyn Ave #12,CHICAGO,IL,60640,650000,3,3.0,Edgewater,,5000,,6,,408,Active,,,http://www.redfin.com/IL/Chicago/950-W-Berwyn-Ave-60640/unit-12/home/13401184,MRED,10125939,N,Y,41.9787248,-87.6544304
MLS Listing,,Condo/Co-op,1137 W WEBSTER Ave,CHICAGO,IL,60614,625000,2,2.0,Lincoln Park,,,2006,6,,161,Active,,,http://www.redfin.com/IL/Chicago/1137-W-Webster-Ave-60614/unit-3/home/18928605,MRED,10125609,N,Y,41.9214164,-87.6573591
MLS Listing,,Condo/Co-op,1927 W Potomac Ave Unit 1W,CHICAGO,IL,60622,615000,3,2.5,West Town,,,2008,6,,279,Active,,,http://www.redfin.com/IL/Chicago/1927-W-Potomac-Ave-60622/unit-1W/home/13135252,MRED,10125563,N,Y,41.9047754,-87.6759504
